"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm²/sr]","Stdev Radiance","Min Radiance","Max Radiance"
SOK20190215105630_010,ROI 3,Overlay,6.500e+10,9.740e+08,1.799e+09,2.213e+06,8.843e+09
SOK20190215105630_010,ROI 4,Overlay,6.027e+10,9.038e+08,1.449e+09,5.609e+06,6.313e+09
SOK20190215105630_010,ROI 5,Overlay,6.553e+10,9.823e+08,1.726e+09,5.532e+06,7.546e+09
SOK20190215105630_011,ROI 1,Overlay,4.613e+10,6.911e+08,1.610e+09,-4.472e+06,1.051e+10
SOK20190215105630_011,ROI 2,Overlay,4.546e+10,6.814e+08,1.355e+09,-1.565e+06,6.514e+09
SOK20190215105630_011,ROI 3,Overlay,6.175e+10,9.253e+08,1.705e+09,2.599e+06,8.450e+09
SOK20190215105630_011,ROI 4,Overlay,6.087e+10,9.128e+08,1.469e+09,4.607e+06,6.463e+09
SOK20190215105630_011,ROI 5,Overlay,7.123e+10,1.068e+09,1.899e+09,7.174e+06,8.430e+09
SOK20190215105630_012,ROI 1,Overlay,4.864e+10,7.286e+08,1.677e+09,-2.051e+06,1.084e+10
SOK20190215105630_012,ROI 2,Overlay,4.368e+10,6.548e+08,1.300e+09,-1.958e+06,6.302e+09
SOK20190215105630_012,ROI 3,Overlay,6.146e+10,9.211e+08,1.701e+09,1.423e+06,8.374e+09
SOK20190215105630_012,ROI 4,Overlay,5.463e+10,8.192e+08,1.317e+09,6.270e+06,5.791e+09
SOK20190215105630_012,ROI 5,Overlay,5.963e+10,8.937e+08,1.569e+09,3.324e+06,6.687e+09
SOK20190215105630_013,ROI 1,Overlay,4.843e+10,7.256e+08,1.657e+09,-2.861e+06,1.073e+10
SOK20190215105630_013,ROI 2,Overlay,4.444e+10,6.661e+08,1.325e+09,-1.488e+06,6.421e+09
SOK20190215105630_013,ROI 3,Overlay,6.096e+10,9.136e+08,1.689e+09,1.236e+06,8.335e+09
SOK20190215105630_013,ROI 4,Overlay,5.350e+10,8.023e+08,1.295e+09,4.450e+06,5.687e+09
SOK20190215105630_013,ROI 5,Overlay,5.781e+10,8.665e+08,1.521e+09,1.794e+06,6.546e+09
SOK20190215105630_014,ROI 1,Overlay,4.974e+10,7.452e+08,1.687e+09,-4.631e+06,1.085e+10
SOK20190215105630_014,ROI 2,Overlay,4.371e+10,6.552e+08,1.304e+09,-1.929e+06,6.311e+09
SOK20190215105630_014,ROI 3,Overlay,5.744e+10,8.608e+08,1.588e+09,2.553e+06,7.779e+09
SOK20190215105630_014,ROI 4,Overlay,5.038e+10,7.556e+08,1.220e+09,3.525e+06,5.415e+09
SOK20190215105630_014,ROI 5,Overlay,5.555e+10,8.327e+08,1.462e+09,5.108e+06,6.271e+09
SOK20190215105630_015,ROI 1,Overlay,5.037e+10,7.547e+08,1.694e+09,-3.127e+06,1.080e+10
SOK20190215105630_015,ROI 2,Overlay,4.293e+10,6.435e+08,1.281e+09,-2.023e+06,6.214e+09
SOK20190215105630_015,ROI 3,Overlay,5.550e+10,8.317e+08,1.534e+09,2.313e+06,7.545e+09
SOK20190215105630_015,ROI 4,Overlay,5.024e+10,7.535e+08,1.219e+09,5.281e+06,5.420e+09
SOK20190215105630_015,ROI 5,Overlay,5.556e+10,8.327e+08,1.469e+09,3.699e+06,6.428e+09
SOK20190215105630_016,ROI 1,Overlay,5.079e+10,7.610e+08,1.691e+09,-2.903e+06,1.076e+10
SOK20190215105630_016,ROI 2,Overlay,4.331e+10,6.493e+08,1.296e+09,-4.896e+06,6.338e+09
SOK20190215105630_016,ROI 3,Overlay,5.270e+10,7.897e+08,1.456e+09,2.457e+06,7.160e+09
SOK20190215105630_016,ROI 4,Overlay,4.884e+10,7.324e+08,1.188e+09,4.799e+06,5.330e+09
SOK20190215105630_016,ROI 5,Overlay,4.788e+10,7.177e+08,1.254e+09,3.454e+06,5.275e+09
