"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm²/sr]","Stdev Radiance","Min Radiance","Max Radiance"
EMT20210208064701_001,ROI 1,Overlay,1.441e+08,2.157e+06,2.146e+06,-1.547e+04,9.177e+06
EMT20210208064701_002,ROI 1,Overlay,1.470e+08,2.200e+06,2.203e+06,-7.488e+03,9.515e+06
EMT20210208064701_003,ROI 1,Overlay,1.531e+08,2.292e+06,2.282e+06,-8.963e+03,9.807e+06
EMT20210208064701_004,ROI 1,Overlay,1.496e+08,2.239e+06,2.227e+06,-3.845e+03,9.864e+06
EMT20210208064701_005,ROI 1,Overlay,1.487e+08,2.225e+06,2.209e+06,1.168e+04,9.723e+06
EMT20210208064701_006,ROI 1,Overlay,1.425e+08,2.133e+06,2.105e+06,2.907e+03,8.974e+06
EMT20210208064701_007,ROI 1,Overlay,1.394e+08,2.087e+06,2.067e+06,1.320e+04,9.046e+06
EMT20210208064701_008,ROI 1,Overlay,1.353e+08,2.025e+06,2.007e+06,8.324e+03,8.697e+06
